,Unnamed: 0,act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
144,144,"№ 3664
 від 11.04.18","м. Кропивницький вул. Комарова, 13",48.502266,32.2462548,КП «ЖЕО № 1» Міської ради міста Кропивницького,береза,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Комарова, 13"
145,145,"№ 3664
 від 11.04.18","м. Кропивницький вул. Героїв України, 8",48.494147,32.218491,КП «ЖЕО № 1» Міської ради міста Кропивницького,акація,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Героїв України, 8"
146,146,"№ 3664
 від 11.04.18","м. Кропивницький вул. Юрія Коваленка, 25/19, корп. 2",48.4974407,32.20279,КП «ЖЕО № 1» Міської ради міста Кропивницького,абрикос -,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Юрія Коваленка, 25/19, корп. 2"
147,147,"№ 3664
 від 11.04.18","м. Кропивницький вул. Вокзальна, 4",48.5228734,32.2583134,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Вокзальна, 4"
148,148,"№ 3664
 від 11.04.18","м. Кропивницький пров. Ковалівський, 13",48.5228882,32.25705,КП «ЖЕО № 1» Міської ради міста Кропивницького,горобина,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький пров. Ковалівський, 13"
149,149,"№ 3664
 від 11.04.18","м. Кропивницький пров. Ковалівський, 13",48.5228316,32.2570413,КП «ЖЕО № 1» Міської ради міста Кропивницького,горіх,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький пров. Ковалівський, 13"
150,150,"№ 3664
 від 11.04.18","м. Кропивницький вул. Тараса Карпи, 128",48.503975899996355,32.2776192,КП «ЖЕО № 1» Міської ради міста Кропивницького,акація,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Тараса Карпи, 128"
151,151,"№ 3665
 від 11.04.18","м. Кропивницький вул. Бобринецький шлях, 109",48.4804195,32.2717565,КП «ЖЕО № 1» Міської ради міста Кропивницького,тополя,3,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Бобринецький шлях, 109"
152,152,"№ 3665
 від 11.04.18","м. Кропивницький вул. Бобринецький шлях, 109",48.48042279999999,32.2717937,КП «ЖЕО № 1» Міської ради міста Кропивницького,верба плакуча,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Бобринецький шлях, 109"
153,153,"№ 3666
 від 11.04.18","м. Кропивницький вул. Кавалерійська, 17/19",48.514055600000006,32.25720949999917,Кіровоградський обласний військовий комісаріат,тополя,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Кавалерійська, 17/19"
154,154,"№ 3666
 від 11.04.18","м. Кропивницький вул. Кавалерійська, 17/19",48.5140329,32.25720949999979,Кіровоградський обласний військовий комісаріат,каштан,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Кавалерійська, 17/19"
